team1,team2,team1_score,team2_score,team1_leader_name,team1_leader_points,team1_leader_rebounds,team1_leader_assists,team1_leader_blocks,team1_leader_steals,team2_leader_name,team2_leader_points,team2_leader_rebounds,team2_leader_assists,team2_leader_blocks,team2_leader_steals,period_Q1_team1,period_Q1_team2,period_Q2_team1,period_Q2_team2,period_Q3_team1,period_Q3_team2,period_Q4_team1,period_Q4_team2,period_Q5_team1,period_Q5_team2,period_Q6_team1,period_Q6_team2,period_Q7_team1,period_Q7_team2,verdict
Bucks,Pelicans,136,113,Giannis Antetokounmpo,35,16,10,0,2,Josh Hart,14,11,9,1,1,27,24,37,32,32,26,40,31,0,0,0,0,0,0,0
Wizards,Bulls,119,120,Bradley Beal,27,2,17,0,4,Zach LaVine,35,5,3,0,0,32,25,32,27,24,34,31,34,0,0,0,0,0,0,1
Pistons,Spurs,117,116,Hamidou Diallo,34,14,4,2,5,Bryn Forbes,27,7,2,0,0,20,29,32,30,33,22,20,24,12,11,0,0,0,0,0
Nets,Clippers,116,120,James Harden,34,12,13,0,1,Eric Bledsoe,27,3,4,2,3,30,29,23,20,34,31,29,40,0,0,0,0,0,0,1
Rockets,Nuggets,111,124,Jalen Green,29,1,1,0,0,Facundo Campazzo,22,4,12,2,5,31,30,24,47,19,22,37,25,0,0,0,0,0,0,1
Jazz,Warriors,116,123,Rudy Gobert,20,19,2,0,0,Stephen Curry,28,6,9,1,0,24,29,26,35,41,22,25,37,0,0,0,0,0,0,1
Raptors,Knicks,120,105,Fred VanVleet,35,5,5,0,1,Obi Toppin,19,6,6,2,1,30,27,26,18,40,29,24,31,0,0,0,0,0,0,0
Kings,Heat,115,113,De'Aaron Fox,24,6,6,0,2,Omer Yurtseven,22,16,0,0,1,26,18,35,39,29,33,25,23,0,0,0,0,0,0,0
Cavaliers,Pacers,108,104,Evan Mobley,24,9,4,0,0,Domantas Sabonis,32,13,7,1,0,30,30,28,26,30,28,20,20,0,0,0,0,0,0,0
Celtics,Magic,116,111,Jaylen Brown,50,11,4,2,1,Terrence Ross,33,5,0,0,3,28,19,17,23,20,35,35,23,16,11,0,0,0,0,0
Thunder,Mavericks,86,95,Josh Giddey,17,13,14,0,4,Luka Doncic,14,9,10,0,1,22,26,17,25,25,22,22,22,0,0,0,0,0,0,1
Hornets,Suns,99,133,Ish Smith,13,1,8,0,2,Devin Booker,24,7,3,0,0,27,36,20,37,27,33,25,27,0,0,0,0,0,0,1
Lakers,Timberwolves,108,103,LeBron James,26,7,5,1,3,Naz Reid,23,11,2,0,0,31,24,26,30,21,26,30,23,0,0,0,0,0,0,0
Wizards,Hornets,124,121,Kyle Kuzma,36,14,6,0,1,Miles Bridges,23,14,4,1,4,38,25,18,39,28,26,40,31,0,0,0,0,0,0,0
76ers,Rockets,133,113,Joel Embiid,31,15,10,2,1,Garrison Mathews,23,7,1,0,0,34,30,28,33,41,29,30,21,0,0,0,0,0,0,0
Nets,Grizzlies,104,118,Kevin Durant,26,3,6,3,3,Ja Morant,36,6,8,0,0,24,29,23,27,26,40,31,22,0,0,0,0,0,0,1
Pelicans,Jazz,104,115,Jonas Valanciunas,25,9,2,0,0,Donovan Mitchell,29,3,5,1,3,24,23,25,29,28,30,27,33,0,0,0,0,0,0,1
Bucks,Pistons,106,115,Giannis Antetokounmpo,31,10,7,0,1,Saddiq Bey,34,8,4,0,1,30,28,34,33,21,26,21,28,0,0,0,0,0,0,1
Bulls,Magic,102,98,DeMar DeRozan,29,3,2,0,1,Wendell Carter Jr.,21,10,4,0,1,15,21,30,19,24,26,33,32,0,0,0,0,0,0,0
Mavericks,Nuggets,103,89,Luka Doncic,21,8,15,0,4,Nikola Jokic,27,16,3,0,2,24,20,22,17,23,26,34,26,0,0,0,0,0,0,0
Trail Blazers,Hawks,136,131,Anfernee Simons,43,3,7,0,0,Trae Young,56,4,14,0,0,36,32,34,33,30,40,36,26,0,0,0,0,0,0,0
Warriors,Heat,115,108,Jordan Poole,32,2,5,0,0,Kyle Lowry,16,6,11,0,1,33,25,26,29,30,28,26,26,0,0,0,0,0,0,0
Clippers,Timberwolves,104,122,Serge Ibaka,17,4,1,1,0,Anthony Edwards,28,2,4,1,1,21,26,25,38,19,21,39,37,0,0,0,0,0,0,1
Raptors,Spurs,129,104,Fred VanVleet,33,2,7,0,2,Jakob Poeltl,19,12,4,0,0,30,29,38,24,29,28,32,23,0,0,0,0,0,0,0
Cavaliers,Grizzlies,106,110,Darius Garland,27,4,10,0,0,Ja Morant,26,5,6,2,2,30,27,25,30,20,19,31,34,0,0,0,0,0,0,1
Knicks,Pacers,104,94,Julius Randle,30,16,4,0,1,Keifer Sykes,22,4,6,0,1,32,25,23,30,29,22,20,17,0,0,0,0,0,0,0
Pelicans,Suns,110,123,Jonas Valanciunas,25,16,2,0,0,Devin Booker,33,9,4,0,0,31,42,23,22,30,31,26,28,0,0,0,0,0,0,1
Lakers,Kings,122,114,LeBron James,31,5,5,1,0,De'Aaron Fox,30,3,6,0,0,26,31,31,28,28,24,37,31,0,0,0,0,0,0,0
Wizards,Rockets,111,114,Bradley Beal,27,5,5,1,1,Christian Wood,22,11,1,0,3,26,29,29,25,28,32,28,28,0,0,0,0,0,0,1
Magic,76ers,106,116,Cole Anthony,26,5,7,0,1,Joel Embiid,31,5,4,1,1,33,33,26,29,30,26,17,28,0,0,0,0,0,0,1
Hornets,Pistons,140,111,Kelly Oubre Jr.,32,6,0,1,0,Trey Lyles,17,7,1,0,0,37,19,28,32,35,24,40,36,0,0,0,0,0,0,0
Mavericks,Warriors,99,82,Luka Doncic,26,7,8,0,2,Stephen Curry,14,9,5,1,0,21,21,29,18,20,28,29,15,0,0,0,0,0,0,0
Pacers,Nets,121,129,Domantas Sabonis,32,12,10,0,0,Kevin Durant,39,8,7,0,1,37,32,36,28,28,34,20,35,0,0,0,0,0,0,1
Celtics,Spurs,97,99,Jaylen Brown,30,6,1,1,2,Dejounte Murray,22,9,12,0,3,30,30,26,28,21,22,20,19,0,0,0,0,0,0,1
Timberwolves,Thunder,98,90,Karl-Anthony Towns,17,16,3,2,1,Josh Giddey,14,15,6,0,1,30,10,19,26,20,27,29,27,0,0,0,0,0,0,0
Bucks,Raptors,111,117,Jrue Holiday,15,8,12,3,1,Pascal Siakam,33,6,6,1,2,42,35,35,33,11,24,23,25,0,0,0,0,0,0,1
Kings,Hawks,102,108,De'Aaron Fox,30,2,6,0,1,Kevin Huerter,25,11,5,0,1,24,33,21,21,30,24,27,30,0,0,0,0,0,0,1
Trail Blazers,Heat,109,115,Anfernee Simons,28,1,7,0,2,Max Strus,25,6,5,0,0,23,30,24,28,33,25,29,32,0,0,0,0,0,0,1
Nuggets,Jazz,109,115,Nikola Jokic,26,21,11,2,0,Bojan Bogdanovic,36,13,4,0,1,26,26,30,31,22,31,31,27,0,0,0,0,0,0,1
Knicks,Celtics,108,105,Evan Fournier,41,8,2,1,1,Jayson Tatum,36,6,9,1,2,18,25,29,38,30,21,31,21,0,0,0,0,0,0,0
Pelicans,Warriors,101,96,Brandon Ingram,32,11,6,0,0,Andrew Wiggins,21,4,1,1,2,16,22,31,24,28,26,26,24,0,0,0,0,0,0,0
Grizzlies,Pistons,118,88,Ja Morant,22,9,6,1,0,Cade Cunningham,12,5,6,0,0,32,18,30,28,28,22,28,20,0,0,0,0,0,0,0
Suns,Clippers,106,89,Chris Paul,14,13,10,1,2,Marcus Morris Sr.,26,8,3,0,0,21,20,35,20,19,26,31,23,0,0,0,0,0,0,0
76ers,Spurs,119,100,Joel Embiid,31,12,7,1,0,Dejounte Murray,27,5,9,1,3,39,19,32,34,26,27,22,20,0,0,0,0,0,0,0
Raptors,Jazz,122,108,Fred VanVleet,37,10,10,1,2,Elijah Hughes,26,8,4,0,2,25,40,24,22,45,30,28,16,0,0,0,0,0,0,0
Nets,Bucks,109,121,Kevin Durant,29,9,7,1,1,Giannis Antetokounmpo,31,7,9,0,0,21,29,28,31,31,38,29,23,0,0,0,0,0,0,1
Thunder,Timberwolves,105,135,Aaron Wiggins,13,7,4,0,2,D'Angelo Russell,27,1,12,0,2,28,32,29,41,23,30,25,32,0,0,0,0,0,0,1
Rockets,Mavericks,106,130,Jae'Sean Tate,15,8,5,0,0,Tim Hardaway Jr.,19,4,7,0,0,23,43,37,37,26,30,20,20,0,0,0,0,0,0,1
Bulls,Wizards,130,122,Nikola Vucevic,16,14,7,0,4,Bradley Beal,26,3,6,0,1,37,32,36,34,34,29,23,27,0,0,0,0,0,0,0
Nuggets,Kings,121,111,Nikola Jokic,33,10,7,2,2,De'Aaron Fox,30,7,5,0,1,35,23,31,31,30,31,25,26,0,0,0,0,0,0,0
Trail Blazers,Cavaliers,101,114,Jusuf Nurkic,14,12,4,1,2,Darius Garland,26,1,6,0,1,21,24,26,33,31,25,23,32,0,0,0,0,0,0,1
Lakers,Hawks,134,118,LeBron James,32,8,9,3,4,Trae Young,25,9,14,0,0,34,28,30,33,37,26,33,31,0,0,0,0,0,0,0
Clippers,Grizzlies,108,123,Marcus Morris Sr.,29,8,2,0,0,Jaren Jackson Jr.,26,8,3,5,3,36,28,20,38,28,28,24,29,0,0,0,0,0,0,1
Pacers,Jazz,125,113,Domantas Sabonis,42,6,3,1,1,Donovan Mitchell,36,2,9,0,1,33,27,28,25,29,34,35,27,0,0,0,0,0,0,0
Pistons,Magic,97,92,Trey Lyles,16,13,2,2,1,Gary Harris,28,6,2,0,1,31,26,21,19,21,28,24,19,0,0,0,0,0,0,0
Hornets,Bucks,114,106,LaMelo Ball,19,9,8,0,1,Giannis Antetokounmpo,43,12,3,2,1,27,29,20,12,42,34,25,31,0,0,0,0,0,0,0
Celtics,Knicks,99,75,Jaylen Brown,22,11,11,0,2,Julius Randle,13,12,6,0,1,21,26,23,16,32,18,23,15,0,0,0,0,0,0,0
Suns,Heat,100,123,Devin Booker,26,4,3,0,2,Tyler Herro,33,5,3,1,3,29,33,21,38,29,27,21,25,0,0,0,0,0,0,1
Nets,Spurs,121,119,James Harden,26,7,12,1,1,Dejounte Murray,19,9,12,1,2,32,32,28,19,31,38,22,24,8,6,0,0,0,0,0
Clippers,Hawks,106,93,Amir Coffey,21,5,3,0,0,Trae Young,19,3,7,1,2,31,23,28,30,27,20,20,20,0,0,0,0,0,0,0
Raptors,Pelicans,105,101,Pascal Siakam,29,10,7,0,2,Jonas Valanciunas,20,17,1,1,1,27,26,22,22,30,29,26,24,0,0,0,0,0,0,0
Magic,Wizards,100,102,Terrence Ross,32,2,2,0,1,Kyle Kuzma,27,22,1,0,0,26,20,23,22,22,25,29,35,0,0,0,0,0,0,1
Thunder,Nuggets,95,99,Josh Giddey,11,7,8,0,1,Nikola Jokic,22,18,6,0,1,23,36,26,25,29,19,17,19,0,0,0,0,0,0,1
Rockets,Timberwolves,123,141,Christian Wood,22,8,3,2,0,Karl-Anthony Towns,40,9,7,0,1,26,36,28,39,34,36,35,30,0,0,0,0,0,0,1
Mavericks,Bulls,113,99,Luka Doncic,22,14,14,0,0,DeMar DeRozan,20,4,8,1,0,22,32,32,23,29,24,30,20,0,0,0,0,0,0,0
Warriors,Cavaliers,96,82,Stephen Curry,28,5,5,0,1,Rajon Rondo,15,3,5,0,0,24,21,27,25,28,14,17,22,0,0,0,0,0,0,0
Trail Blazers,Kings,103,88,Anfernee Simons,31,3,6,0,0,Tyrese Haliburton,17,1,9,1,2,27,21,26,19,29,27,21,21,0,0,0,0,0,0,0
Lakers,Grizzlies,119,127,LeBron James,35,9,7,0,0,Jaren Jackson Jr.,21,12,1,6,1,27,27,25,38,31,42,36,20,0,0,0,0,0,0,1
Pistons,Jazz,126,116,Cade Cunningham,29,1,8,2,2,Donovan Mitchell,31,3,4,0,2,21,35,27,26,40,23,38,32,0,0,0,0,0,0,0
Hornets,Bucks,103,99,Terry Rozier,27,7,4,0,2,Giannis Antetokounmpo,26,13,8,1,1,28,19,19,29,36,26,20,25,0,0,0,0,0,0,0
Knicks,Spurs,111,96,RJ Barrett,31,3,4,1,0,Dejounte Murray,24,4,5,1,2,23,26,28,23,31,26,29,21,0,0,0,0,0,0,0
Celtics,Pacers,101,98,Jaylen Brown,26,15,6,1,0,Domantas Sabonis,11,22,10,0,1,23,17,19,22,26,21,21,29,12,9,0,0,0,0,0
Rockets,76ers,91,111,Christian Wood,14,6,2,0,1,Joel Embiid,31,8,6,2,1,27,36,23,26,22,29,19,20,0,0,0,0,0,0,1
Kings,Cavaliers,108,109,Tyrese Haliburton,21,2,8,1,3,Jarrett Allen,18,17,1,2,1,22,28,27,34,30,22,29,25,0,0,0,0,0,0,1
Trail Blazers,Nets,114,108,Anfernee Simons,23,6,11,0,0,Kevin Durant,28,10,5,1,2,33,26,22,36,32,19,27,27,0,0,0,0,0,0,0
